Global_ID,MTR_ADJ,MTR,GDD,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,DS,CBB,P_FT,CWT_A,ADJ_SDWT
20021001,41,97,20.87113402,20,1,1,SVREC,0,1001,FALSE,2002,B15417/B15442,B19312,1,22,2020,1317.7,14.08,23.5,46,49,1,5,3,15,26.54460667,24.62341463
20011001,40,96,20.99791667,20,1,1,SVREC,0,1001,FALSE,2001,N15331/N16405,N19248,1,34,2020,1141.7,13.66,17.5,45,32,1,5,5,15,23.11157409,18.42621951
20021002,41,97,20.87113402,35,1,1,SVREC,0,1002,FALSE,2002,Reselection of B16504 (SS),B19504,1,23,2020,1568.6,14.45,19.4,46,49,1,6,3,15,31.46282428,20.23987805
20011002,40,96,20.99791667,35,1,1,SVREC,0,1002,FALSE,2001,"W2363X-67629BL/OAC Rex, AC PORTAGE",I19712,1,35,2020,1226.2,13.98,17.8,43,46,1,5,1,15,24.73012037,18.67263415
20021003,40,96,20.99791667,21,1,1,SVREC,0,1003,FALSE,2002,B15414/B16504,B19346,1,24,2020,1153.5,14.53,21.1,47,36,1,5,3,15,23.11515357,21.99289024
20011003,40,96,20.99791667,21,1,1,SVREC,0,1003,FALSE,2001,N15331/N16405,N19246,1,36,2020,1779,14.18,19,45,46,1,6,1,15,35.79562408,19.88512195
20021004,40,96,20.99791667,11,1,1,SVREC,0,1004,FALSE,2002,B14302/B10244,B17922,1,25,2020,1401.6,14.04,19,47,53,1,6,3,15,28.24788756,19.91756098
20011004,40,96,20.99791667,11,1,1,SVREC,0,1004,FALSE,2001,N14230/N12447,N17506,1,37,2020,1426.8,14.08,18.2,49,40,1,6,1,15,28.7423881,19.07004878
20021005,40,96,20.99791667,19,1,1,SVREC,0,1005,FALSE,2002,B16501/B15414,B19330,1,26,2020,1597.2,13.66,22.6,46,52,1,5,1,15,32.33231685,23.79614634
20011005,40,96,20.99791667,19,1,1,SVREC,0,1005,FALSE,2001,N15335/N14243,N19252,1,38,2020,1371.2,13.87,19.1,45,37,1,5,1,15,27.68985822,20.0619878
20021006,39,95,21.16421053,34,1,1,SVREC,0,1006,FALSE,2002,"NDF120287, ND TWILIGHT",I19701,1,27,2020,1095.6,14.42,20.1,45,46,2,5,2,15,21.98314305,20.97753659
20011006,40,96,20.99791667,34,1,1,SVREC,0,1006,TRUE,2001,N13142/B14302,N19290,1,39,2020,1669.2,14.29,18.8,48,41,2,5,1,15,33.5432664,19.65058537
20021007,40,96,20.99791667,23,1,2,SVREC,0,1007,FALSE,2002,B15414/B16504,B19309,2,22,2020,1853.6,14.13,19.2,46,52,1,6,1,15,37.31839558,20.10614634
20011007,40,96,20.99791667,23,1,2,SVREC,0,1007,FALSE,2001,N15331/N16404,N19240,2,34,2020,1734,14.2,19.6,44,47,1,5,2,15,34.88203883,20.50829268
20021008,40,96,20.99791667,18,1,2,SVREC,0,1008,FALSE,2002,"ND9902621-2, ECLIPSE",I03390,2,23,2020,1476.2,14.18,20.1,45,51,1,6,4,15,29.70292314,21.03636585
20011008,41,97,20.87113402,18,1,2,SVREC,0,1008,FALSE,2001,N15331/N16404,N19239,2,35,2020,1958.2,14.14,19.2,44,45,2,5,2,15,39.4197087,20.10380488
20021009,41,97,20.87113402,16,1,2,SVREC,0,1009,FALSE,2002,B10244/B13218,B18201,2,24,2020,1293.9,14.34,19.2,46,49,1,5,5,15,25.98628895,20.05697561
20011009,40,96,20.99791667,16,1,2,SVREC,4,1009,FALSE,2001,"COOP 03019, MERLIN",I11264,2,36,2020,1540.3,14.09,19.4,45,37,2,5,5,15,31.02519464,20.32504878
20021010,41,97,20.87113402,1,1,2,SVREC,0,1010,FALSE,2002,Zenith/B10215,B16501,2,25,2020,1744.3,14.09,22.1,46,52,1,6,4,15,35.13422515,23.15379268
20011010,40,96,20.99791667,1,1,2,SVREC,0,1010,FALSE,2001,N13120/PR00806-81,N18103,2,37,2020,1803.4,14.48,22.4,46,57,2,5,4,15,36.1597349,23.36156098
20021011,40,96,20.99791667,36,1,2,SVREC,0,1011,FALSE,2002,NE14-18-4,I19711,2,26,2020,1581.9,14.48,25.2,43,43,3,4,2,15,31.71846769,26.2817561
20011011,40,96,20.99791667,36,1,2,SVREC,5,1011,FALSE,2001,VALIANT,I20815,2,38,2020,2019.2,14.33,20.5,43,46,2,5,2,15,40.55772486,21.4175
20021012,40,96,20.99791667,6,1,2,SVREC,0,1012,FALSE,2002,B11363//Alpena*/B09197,B16505,2,27,2020,1732.1,14.16,22.8,45,52,1,5,3,15,34.86006166,23.86770732
20011012,41,97,20.87113402,6,1,2,SVREC,0,1012,TRUE,2001,G14505/X16708,N19285,2,39,2020,1960.8,14.31,22.8,44,45,3,4,2,15,39.39389485,23.826
20021013,42,98,20.73265306,10,1,3,SVREC,0,1013,FALSE,2002,"Jaguar/BL05222, BLACK BEAR",I17501,3,22,2020,1505.6,14.28,23.4,47,50,1,6,3,15,30.25918654,24.46156098
20011013,40,96,20.99791667,10,1,3,SVREC,0,1013,FALSE,2001,N13131/N14201,N18105,3,34,2020,1653.4,13.88,19.7,45,58,1,6,2,15,33.38469667,20.68980488
20021014,41,97,20.87113402,25,1,3,SVREC,0,1014,FALSE,2002,B16507/B16501,B19341,3,23,2020,1561.3,14.17,20.9,46,45,1,5,3,15,31.4188983,21.87618293
20011014,40,96,20.99791667,25,1,3,SVREC,0,1014,FALSE,2001,N16405/B16504,N19262,3,35,2020,1490,13.97,19,44,44,1,5,4,15,30.05395775,19.93378049
20021015,40,96,20.99791667,28,1,3,SVREC,0,1015,FALSE,2002,N16405/B16504,B19302,3,24,2020,1446.6,13.75,18,46,47,1,6,4,15,29.25317739,18.93292683
20011015,41,97,20.87113402,28,1,3,SVREC,0,1015,FALSE,2001,N14201/N15331,N19216,3,36,2020,1643.4,13.94,18.2,46,58,2,5,3,15,33.15966273,19.10112195
20021016,40,96,20.99791667,5,1,3,SVREC,0,1016,FALSE,2002,B14302/B10244,B17897,3,25,2020,1376.3,14.22,19.1,47,51,1,6,3,15,27.67990734,19.98046341
