Global_ID,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,MTR,DS,CBB,P_FT,CWT_A,ADJ_SDWT
2013_1001,20,1,1,SVREC,0,1001,FALSE,2013,B15417/B15442,B19312,1,3,2020,991.2,12.34,23,46,58,1,94,6,2,15,20.3717454,24.58756098
2002_1001,20,1,1,SVREC,0,1001,FALSE,2002,B15417/B15442,B19312,1,22,2020,1317.7,14.08,23.5,46,49,1,97,5,3,15,26.54460667,24.62341463
2001_1001,20,1,1,SVREC,0,1001,FALSE,2001,N15331/N16405,N19248,1,34,2020,1141.7,13.66,17.5,45,32,1,96,5,5,15,23.11157409,18.42621951
2005_1001,11,1,1,SVREC,0,1001,FALSE,2005,Powderhorn/G12501,G16305,1,46,2020,1729.1,13.96,34.6,42,46,2,97,5,3,15,34.88076432,36.30468293
2007_1001,11,1,1,SVREC,0,1001,FALSE,2007,R12859/R12844,R17603,1,54,2020,1679.3,12.21,31.9,44,54,1,96,6,1,15,34.56517956,34.15245122
2011_1001,32,1,1,SVREC,0,1001,FALSE,2011,"PT16-9, USDA DIAMONDBACK",I18623,1,60,2020,1778.5,13.05,39.9,45,59,2,96,5,4,15,36.25675535,42.30859756
2012_1001,30,1,1,SVREC,0,1001,FALSE,2012,"X07714/X07710, GYPSY ROSE",R11806,1,70,2020,1601.6,14.32,29.1,48,45,3,96,3,2,15,32.17355111,30.40595122
2006_1001,13,1,1,SVREC,0,1001,FALSE,2006,P16913/P16901,P19708,1,78,2020,1446.7,15.78,34.2,44,56,1,92,5,3,15,28.56664243,35.12590244
2003_1001,76,,1,SVREC,0,1001,FALSE,2003,B16504/N14218,N20391,1,82,2020,1258.7,15.83,17.5,53,50,2,94,5,2,16,23.28714868,17.96310976
2004_1001,82,,1,SVREC,0,1001,FALSE,2004,B16504/I17560,B20588,1,92,2020,1645.3,15.19,18,47,56,3,94,4,4,16,30.67106932,18.61682927
2008_1001,19,,19,SVREC,0,1001,FALSE,2008,G16341/G16306,G20726,1,110,2020,,,,,,,,,,,,
2009_1001,150,,1,SVREC,0,1001,FALSE,2009,S17702/R17603,S20424,1,155,2020,1008,11.67,29.8,44,33,4,93,4,1,16,19.57066213,32.10041463
2013_1002,35,1,1,SVREC,0,1002,FALSE,2013,Reselection of B16504 (SS),B19504,1,4,2020,1411.1,11.65,18.9,47,59,1,96,7,3,15,29.23006802,20.36359756
2002_1002,35,1,1,SVREC,0,1002,FALSE,2002,Reselection of B16504 (SS),B19504,1,23,2020,1568.6,14.45,19.4,46,49,1,97,6,3,15,31.46282428,20.23987805
2001_1002,35,1,1,SVREC,0,1002,FALSE,2001,"W2363X-67629BL/OAC Rex, AC PORTAGE",I19712,1,35,2020,1226.2,13.98,17.8,43,46,1,96,5,1,15,24.73012037,18.67263415
2005_1002,20,1,1,SVREC,0,1002,FALSE,2005,G16339/G16301,G19622,1,47,2020,1430.2,11.91,31.9,44,50,2,97,5,3,15,29.538529,34.26915854
2007_1002,2,1,1,SVREC,0,1002,FALSE,2007,R12859/R12844,R17604,1,55,2020,1720.4,15.48,30.7,43,60,1,96,6,1,15,34.09215094,31.64346341
2011_1002,10,1,1,SVREC,0,1002,FALSE,2011,S14706/R13752,S18904,1,61,2020,1650.6,13.13,36.6,44,48,1,97,5,2,15,33.61840792,38.77368293
