Plots_ID,Mat_LOESS_GLI_mean_0.06
20021001,28
20021007,31
20021013,31
20021019,29
20021025,32
20021031,32
20023001,34
20023007,31
20023013,31
20023025,26
20023031,30
20021002,30
20021008,30
20021014,30
20021020,30
20021026,29
20021032,30
20023002,31
20023008,28
20023014,32
20023020,28
20023026,29
20023032,29
20021003,27
20021009,30
20021015,29
20021021,32
20021027,33
20021033,35
20023003,31
20023009,26
20023015,28
20023021,29
20023027,27
20023033,25
20021004,29
20021010,31
20021016,31
20021022,31
20021028,37
20023004,31
20023010,28
20023016,27
20023022,29
20023028,27
20023034,31
20021005,29
20021011,27
20021017,31
20021023,31
20021029,31
20021035,34
20023005,30
20023011,29
20023017,30
20023023,27
20023029,28
20023035,30
20021006,23
20021012,29
20021018,32
20021024,31
20021030,30
20021036,32
20023006,31
20023012,28
20023018,32
20023024,29
20023030,29
20023036,29
20022001,27
20022007,28
20022013,31
20022019,32
20022025,30
20022031,34
20024001,32
20024007,26
20024013,27
20024019,27
20024025,27
20024031,33
20022002,28
20022008,30
20022014,30
20022020,27
20022026,31
20022032,30
20024002,33
20024008,28
20024014,29
20024020,27
20024026,29
20024032,30
20022003,27
20022009,31
20022015,29
20022021,30
20022027,33
20022033,29
20024003,34
20024009,29
20024015,27
20024021,28
20024027,27
20024033,31
20022004,29
20022016,32
20022022,28
20022028,32
20022034,34
20024004,33
20024010,28
20024016,29
20024022,31
20024028,29
20024034,33
20022005,31
20022011,29
20022017,32
20022023,31
20022029,30
20022035,30
20024005,33
20024011,30
20024017,26
20024023,26
20024029,28
20024035,28
20022006,25
20022012,30
20022018,33
20022024,33
20022030,30
20022036,32
20024006,34
20024012,30
20024018,28
20024024,29
20024036,31
20011001,27
20011007,27
20011013,31
20011019,35
20011025,28
20011031,30
20013001,33
20013007,27
20013013,26
20013019,27
20013025,27
20013031,25
20011002,26
20011008,27
20011014,28
20011020,31
20011026,31
20011032,34
20013002,35
20013008,27
20013014,28
20013020,32
20013026,31
20013032,26
20011003,29
20011009,33
20011015,29
20011021,31
20011027,31
20011033,37
20013003,35
20013009,27
20013015,30
20013021,31
20013027,31
20013033,34
20011004,30
20011010,30
20011016,28
20011022,33
20011028,33
20011034,31
20013004,38
20013010,31
20013016,29
20013022,31
20013028,30
20013034,28
20011005,26
20011011,30
20011017,32
20011023,32
20011029,31
20011035,36
20013005,36
20013011,27
20013017,31
20013023,32
20013029,31
20013035,31
20011006,34
20011012,33
20011018,31
20011024,34
20011030,31
20011036,37
20013006,35
20013012,29
20013018,33
20013024,27
20013030,29
20013036,29
20012001,29
20012007,32
20012013,31
20012019,30
20012025,28
20012031,30
20014001,32
20014007,31
20014013,29
20014019,29
20014025,28
20014031,28
20012002,32
20012008,34
20012014,31
20012020,31
20012026,33
20012032,33
20014002,37
20014008,30
20014014,29
20014020,31
20014026,30
20014032,29
20012003,28
20012009,35
20012015,32
20012021,35
20012027,31
20012033,33
20014003,32
20014009,31
20014015,30
20014021,32
20014027,30
20014033,30
20012004,30
20012010,30
20012016,30
20012022,32
20012028,28
20012034,35
20014004,29
20014010,31
20014016,27
20014022,33
20014028,31
20014034,34
20012005,31
20012011,31
20012017,30
20012023,32
20012029,31
20012035,36
20014005,33
20014011,31
20014017,28
20014023,34
20014029,30
20014035,29
20012006,33
20012012,33
20012018,31
20012024,30
20012030,32
20012036,37
20014006,30
20014012,31
20014018,30
20014024,29
20014030,30
20014036,29
20031001,44
20031011,45
20031021,45
20031031,44
20031041,44
20031051,44
20031061,46
20031071,48
20031081,NA
20031091,47
20031101,42
20031111,43
20031002,47
20031012,47
20031022,47
20031032,46
20031042,46
20031052,47
20031062,46
20031072,NA
20031082,46
20031092,46
20031102,44
20031112,45
20031003,45
20031013,46
20031023,45
20031033,45
20031043,46
20031053,45
20031063,44
20031073,45
20031083,44
20031093,45
20031103,43
20031113,40
20031004,NA
20031014,NA
20031024,48
20031034,47
20031044,47
20031054,47
20031064,46
20031074,48
20031084,47
20031094,48
20031104,47
20031114,44
20031005,47
20031015,47
20031025,48
20031035,46
20031045,47
20031055,47
20031065,46
20031075,NA
20031085,47
20031095,NA
20031105,44
20031115,47
20031006,47
20031016,46
20031026,46
20031036,NA
20031046,47
20031056,47
20031066,47
20031076,48
20031086,NA
20031096,45
20031106,NA
20031116,40
20031007,46
20031017,47
20031027,46
20031037,47
20031047,45
20031057,47
20031067,46
20031077,NA
20031087,47
20031097,45
20031107,45
20031117,40
20031008,45
20031018,47
20031028,46
20031038,46
20031048,45
20031058,45
20031068,45
20031078,46
20031088,45
20031098,44
20031108,43
20031118,40
20031009,46
20031019,47
20031029,46
20031039,47
20031049,46
20031059,47
20031069,47
20031079,NA
20031089,47
20031099,45
20031109,45
20031119,43
20031010,47
20031020,47
20031030,47
20031040,NA
20031050,48
20031060,47
20031070,NA
20031080,46
20031090,47
20031100,48
20031110,47
20031120,42
20041001,45
20041019,46
20041037,44
20041055,45
20041073,44
20041091,45
20041109,44
20041127,46
20041145,46
20041163,43
20041002,45
20041020,47
20041038,45
20041056,44
20041074,44
20041092,46
20041110,47
20041128,46
20041146,46
20041164,45
20041003,46
20041021,46
20041039,46
20041057,44
20041075,44
20041093,45
20041111,45
20041129,47
20041147,46
20041165,46
20041004,45
20041022,46
20041040,45
20041058,47
20041076,43
20041094,45
20041112,45
20041130,47
20041148,45
20041166,45
20041005,45
20041023,46
20041041,43
20041059,47
20041077,43
20041095,44
20041113,43
20041131,45
20041149,45
20041167,42
20041006,45
20041024,47
20041042,46
20041060,47
20041078,46
20041096,47
20041114,48
20041132,47
20041150,46
20041168,45
20041007,44
20041025,47
20041043,46
20041061,45
20041079,42
20041097,45
20041115,46
20041133,47
20041151,46
20041169,44
20041008,45
20041026,45
20041044,45
20041062,45
20041080,44
20041098,46
20041116,45
20041134,45
20041152,45
20041170,45
20041009,44
20041027,47
20041045,42
20041063,46
20041081,45
20041099,44
20041117,46
20041135,46
20041153,46
20041171,43
20041010,45
20041028,46
20041046,43
20041064,46
20041082,42
20041100,44
20041118,45
20041136,46
20041154,44
20041172,47
20041011,43
20041029,46
20041047,43
20041065,46
20041083,44
20041101,44
20041119,45
20041137,44
20041155,44
20041173,45
20041012,45
20041030,48
20041048,42
20041066,46
20041084,46
20041102,44
20041120,45
20041138,46
20041156,46
20041174,NA
20041013,45
20041031,48
20041049,43
20041067,46
20041085,43
20041103,43
20041121,44
20041139,44
20041157,45
20041175,44
20041014,46
20041032,47
20041050,44
20041068,47
20041086,43
20041104,42
20041122,42
20041140,45
20041158,43
20041176,42
20041015,45
20041033,47
20041051,47
20041069,46
20041087,44
20041105,44
20041123,45
20041141,45
20041159,43
20041177,43
20041016,46
20041034,47
20041052,45
20041070,47
20041088,43
20041106,44
20041124,44
20041142,45
20041160,41
20041178,42
20041017,46
20041035,46
20041053,46
20041071,44
20041089,43
20041107,42
20041125,44
20041143,43
20041161,41
20041179,41
20041018,46
20041036,47
20041054,45
20041072,45
20041090,44
20041108,42
20041126,43
20041144,45
20041162,42
20041180,42
