Plots_ID,Mat_SEG_GLI_mean_0.06
20021001,30
20021007,33
20021013,32
20021019,31
20021025,33
20021031,32
20023001,35
20023007,33
20023013,32
20023025,27
20023031,32
20021002,32
20021008,31
20021014,32
20021020,32
20021026,31
20021032,31
20023002,33
20023008,31
20023014,34
20023020,30
20023026,29
20023032,31
20021003,28
20021009,31
20021015,30
20021021,33
20021027,35
20021033,35
20023003,33
20023009,26
20023015,29
20023021,31
20023027,28
20023033,26
20021004,31
20021010,32
20021016,32
20021022,33
20021028,36
20023004,33
20023010,30
20023016,29
20023022,31
20023028,29
20023034,32
20021005,31
20021011,27
20021017,32
20021023,32
20021029,32
20021035,34
20023005,32
20023011,32
20023017,32
20023023,29
20023029,29
20023035,32
20021006,24
20021012,30
20021018,33
20021024,33
20021030,32
20021036,33
20023006,33
20023012,30
20023018,33
20023024,30
20023030,31
20023036,31
20022001,28
20022007,29
20022013,33
20022019,33
20022025,32
20022031,35
20024001,33
20024007,28
20024013,28
20024019,29
20024025,29
20024031,34
20022002,29
20022008,31
20022014,32
20022020,28
20022026,33
20022032,31
20024002,33
20024008,30
20024014,31
20024020,29
20024026,32
20024032,32
20022003,29
20022009,33
20022015,30
20022021,32
20022027,34
20022033,30
20024003,34
20024009,31
20024015,29
20024021,29
20024027,28
20024033,32
20022004,30
20022016,33
20022022,30
20022028,33
20022034,35
20024004,34
20024010,29
20024016,31
20024022,33
20024028,30
20024034,34
20022005,33
20022011,30
20022017,33
20022023,32
20022029,31
20022035,31
20024005,34
20024011,32
20024017,27
20024023,26
20024029,29
20024035,29
20022006,26
20022012,31
20022018,34
20022024,34
20022030,32
20022036,34
20024006,35
20024012,32
20024018,30
20024024,31
20024036,32
20011001,28
20011007,28
20011013,32
20011019,35
20011025,29
20011031,31
20013001,34
20013007,28
20013013,26
20013019,28
20013025,29
20013031,25
20011002,26
20011008,28
20011014,29
20011020,32
20011026,32
20011032,34
20013002,35
20013008,28
20013014,29
20013020,32
20013026,33
20013032,27
20011003,30
20011009,33
20011015,30
20011021,33
20011027,33
20011033,36
20013003,35
20013009,27
20013015,31
20013021,33
20013027,33
20013033,34
20011004,32
20011010,31
20011016,29
20011022,34
20011028,35
20011034,32
20013004,37
20013010,32
20013016,30
20013022,32
20013028,31
20013034,29
20011005,26
20011011,30
20011017,33
20011023,33
20011029,32
20011035,36
20013005,36
20013011,28
20013017,32
20013023,34
20013029,33
20013035,33
20011006,33
20011012,34
20011018,32
20011024,35
20011030,31
20011036,38
20013006,36
20013012,32
20013018,35
20013024,28
20013030,30
20013036,30
20012001,30
20012007,32
20012013,32
20012019,30
20012025,28
20012031,30
20014001,33
20014007,33
20014013,31
20014019,30
20014025,30
20014031,29
20012002,33
20012008,34
20012014,32
20012020,30
20012026,35
20012032,34
20014002,37
20014008,32
20014014,30
20014020,32
20014026,32
20014032,30
20012003,30
20012009,36
20012015,33
20012021,35
20012027,31
20012033,34
20014003,33
20014009,33
20014015,32
20014021,33
20014027,31
20014033,30
20012004,31
20012010,31
20012016,31
20012022,33
20012028,30
20012034,35
20014004,31
20014010,33
20014016,28
20014022,34
20014028,33
20014034,34
20012005,33
20012011,32
20012017,31
20012023,33
20012029,31
20012035,36
20014005,33
20014011,32
20014017,29
20014023,35
20014029,32
20014035,30
20012006,34
20012012,34
20012018,32
20012024,32
20012030,33
20012036,37
20014006,31
20014012,32
20014018,32
20014024,30
20014030,32
20014036,31
20031001,45
20031011,46
20031021,46
20031031,45
20031041,45
20031051,45
20031061,46
20031071,47
20031081,48
20031091,47
20031101,44
20031111,44
20031002,47
20031012,47
20031022,47
20031032,46
20031042,46
20031052,47
20031062,46
20031072,49
20031082,46
20031092,46
20031102,45
20031112,46
20031003,46
20031013,46
20031023,46
20031033,46
20031043,46
20031053,46
20031063,47
20031073,46
20031083,45
20031093,46
20031103,45
20031113,43
20031004,48
20031014,48
20031024,48
20031034,47
20031044,47
20031054,47
20031064,46
20031074,48
20031084,47
20031094,47
20031104,47
20031114,45
20031005,47
20031015,47
20031025,47
20031035,46
20031045,47
20031055,47
20031065,46
20031075,48
20031085,47
20031095,49
20031105,45
20031115,47
20031006,47
20031016,46
20031026,46
20031036,50
20031046,47
20031056,47
20031066,47
20031076,47
20031086,48
20031096,46
20031106,49
20031116,43
20031007,46
20031017,47
20031027,46
20031037,47
20031047,46
20031057,47
20031067,46
20031077,49
20031087,47
20031097,45
20031107,46
20031117,42
20031008,46
20031018,47
20031028,46
20031038,46
20031048,46
20031058,46
20031068,46
20031078,46
