Plots_ID,Mat_LOESS_GLI_mean_0.06
21192031,33
21192032,33
21192033,35
21192034,35
21192035,33
21192036,33
21192042,33
21192025,32
21192026,33
21192027,33
21192028,31
21192029,29
21192030,30
21192041,32
21192019,31
21192020,34
21192021,30
21192022,29
21192023,31
21192024,31
21192040,33
21192013,33
21192014,30
21192015,31
21192016,32
21192017,33
21192018,32
21192039,34
21192007,34
21192008,33
21192009,34
21192010,33
21192011,35
21192012,34
21192038,34
21192001,33
21192002,32
21192003,34
21192004,35
21192005,33
21192006,35
21192037,36
21191031,30
21191032,33
21191033,33
21191034,32
21191035,34
21191036,35
21191042,35
21191025,35
21191026,36
21191027,34
21191028,33
21191029,34
21191030,35
21191041,37
21191019,31
21191020,30
21191021,35
21191022,34
21191023,32
21191024,33
21191040,34
21191013,31
21191014,31
21191015,32
21191016,29
21191017,31
21191018,30
21191039,32
21191007,35
21191008,34
21191009,32
21191010,35
21191011,33
21191012,34
21191038,34
21191001,34
21191002,33
21191003,33
21191004,32
21191005,34
21191006,35
21191037,36
