Plots_ID,Mat_SEG_GLI_mean_0.06
21192031,40
21192032,41
21192033,44
21192034,49
21192035,40
21192036,42
21192042,42
21192025,38
21192026,42
21192027,40
21192028,38
21192029,32
21192030,32
21192041,36
21192019,34
21192020,45
21192021,37
21192022,31
21192023,38
21192024,38
21192040,44
21192013,43
21192014,34
21192015,37
21192016,42
21192017,42
21192018,37
21192039,44
21192007,47
21192008,42
21192009,46
21192010,43
21192011,45
21192012,45
21192038,46
21192001,41
21192002,38
21192003,44
21192004,45
21192005,41
21192006,47
21192037,48
21191031,30
21191032,43
21191033,43
21191034,39
21191035,44
21191036,46
21191042,46
21191025,50
21191026,51
21191027,42
21191028,41
21191029,44
21191030,46
21191041,55
21191019,39
21191020,34
21191021,53
21191022,46
21191023,40
21191024,40
21191040,43
21191013,33
21191014,34
21191015,39
21191016,32
21191017,37
21191018,34
21191039,38
21191007,48
21191008,45
21191009,39
21191010,46
21191011,43
21191012,45
21191038,45
21191001,42
21191002,43
21191003,44
21191004,41
21191005,45
21191006,48
21191037,50
