,Flight_date,Plot_ID,R_mean,R_median,R_count,R_std,G_mean,G_median,G_count,G_std,B_mean,B_median,B_count,B_std,BCC_mean,BCC_median,BCC_count,BCC_std,BdivG_mean,BdivG_median,BdivG_count,BdivG_std,BI_mean,BI_median,BI_count,BI_std,BIM_mean,BIM_median,BIM_count,BIM_std,CI_mean,CI_median,CI_count,CI_std,CIVE_mean,CIVE_median,CIVE_count,CIVE_std,COM1_mean,COM1_median,COM1_count,COM1_std,COM2_mean,COM2_median,COM2_count,COM2_std,ExG_mean,ExG_median,ExG_count,ExG_std,ExG2_mean,ExG2_median,ExG2_count,ExG2_std,ExGR_mean,ExGR_median,ExGR_count,ExGR_std,EXR_mean,EXR_median,EXR_count,EXR_std,GCC_mean,GCC_median,GCC_count,GCC_std,GdivB_mean,GdivB_median,GdivB_count,GdivB_std,GdivR_mean,GdivR_median,GdivR_count,GdivR_std,GLI_mean,GLI_median,GLI_count,GLI_std,GmnB_mean,GmnB_median,GmnB_count,GmnB_std,GmnR_mean,GmnR_median,GmnR_count,GmnR_std,HI_mean,HI_median,HI_count,HI_std,HUE_mean,HUE_median,HUE_count,HUE_std,I_mean,I_median,I_count,I_std,IF_mean,IF_median,IF_count,IF_std,MExG_mean,MExG_median,MExG_count,MExG_std,MGVRI_mean,MGVRI_median,MGVRI_count,MGVRI_std,MRCCbyAlper_mean,MRCCbyAlper_median,MRCCbyAlper_count,MRCCbyAlper_std,MSRGR_mean,MSRGR_median,MSRGR_count,MSRGR_std,MyIndexi_mean,MyIndexi_median,MyIndexi_count,MyIndexi_std,NDI_mean,NDI_median,NDI_count,NDI_std,NDRBI_mean,NDRBI_median,NDRBI_count,NDRBI_std,NGBDI_mean,NGBDI_median,NGBDI_count,NGBDI_std,NGRDI_mean,NGRDI_median,NGRDI_count,NGRDI_std,RCC_mean,RCC_median,RCC_count,RCC_std,RdiB_mean,RdiB_median,RdiB_count,RdiB_std,RGBVI_mean,RGBVI_median,RGBVI_count,RGBVI_std,RI_mean,RI_median,RI_count,RI_std,RmnB_mean,RmnB_median,RmnB_count,RmnB_std,SI_mean,SI_median,SI_count,SI_std,TGI_mean,TGI_median,TGI_count,TGI_std,TNDGR_mean,TNDGR_median,TNDGR_count,TNDGR_std,VARI_mean,VARI_median,VARI_count,VARI_std,VEG_mean,VEG_median,VEG_count,VEG_std
0,07_19_2021_HURON_RGB.tif,21192031,81.21345,72.0,213689,36.283936,125.87759,125.0,213689,24.900118,78.59757,74.0,213689,27.480982,0.27103084,0.27303755,213689,0.020519607,0.6094277,0.5897436,213689,0.11725613,98.372536,94.31331,213689,27.559982,13.6478,13.466006,213689,2.0485537,-0.0039235633,-0.012345679,213689,0.11823843,-17.224072,-21.661547,213689,13.0929165,180.54982,210.4516,213689,79.77109,25.29474,26.86424,213689,5.0313253,91.94412,102.0,213689,30.913345,0.3651161,0.3931624,213689,0.16474512,104.1229,128.2,213689,62.061104,-12.178757,-25.400002,213689,32.612957,0.4550387,0.46438748,213689,0.054915037,1.7028841,1.6956521,213689,0.34354886,1.7235061,1.7647059,213689,0.4380655,0.24695519,0.26848248,213689,0.10551066,47.28001,50.0,213689,11.749294,44.664135,52.0,213689,20.254768,-0.7732415,-1.0344827,213689,0.7551656,-1.3852208,-1.5681877,213689,0.71978235,9.36684,8.918033,213689,2.8177583,-0.7732415,-1.0344827,213689,0.7551656,62.620975,69.576,213689,20.780352,0.4474211,0.5138772,213689,0.21628919,2436.55,1360.1993,213689,2748.4333,1.3019965,1.3284223,213689,0.16826043,0.013407319,-0.00729927,213689,0.08305184,159.50171,163.40425,213689,16.036787,0.0015327693,-0.006134969,213689,0.05939322,0.006381394,-0.00456621,213689,0.04877594,0.24610713,0.27659574,213689,0.1252874,0.2739305,0.2639405,213689,0.040676266,1.0103534,0.9878049,213689,0.122869335,0.45454744,0.5014655,213689,0.17886433,-0.24610713,-0.27659574,213689,0.1252874,2.6158764,-1.0,213689,11.872996,1.0,1.0,202539,0.0,148.43666,147.91,213689,30.309141,0.86047107,0.8812467,213689,0.07547697,0.3857975,0.43965518,213689,0.18916868,1.7068441,1.7390409,213689,0.3955355
1,07_19_2021_HURON_RGB.tif,21192032,86.65063,78.0,213667,38.109623,129.65956,131.0,213667,26.297161,81.01492,77.0,213667,28.784945,0.26787528,0.26984128,213667,0.0228292,0.6097392,0.585034,213667,0.1258264,102.24404,99.72964,213667,28.834497,13.915752,13.856406,213667,2.137417,0.032631963,0.036144577,213667,0.122093655,-16.962793,-22.055552,213667,14.960198,176.36787,210.98682,213667,89.71014,25.30749,27.076899,213667,5.8023586,91.65361,103.0,213667,35.488007,0.35298708,0.38541666,213667,0.17457715,100.00231,127.79999,213667,69.31386,-8.348706,-23.200005,213667,35.459846,0.45099574,0.46180555,213667,0.058192383,1.7146806,1.7093023,213667,0.39490402,1.6701614,1.7093023,213667,0.45974895,0.23879865,0.26365796,213667,0.111726694,48.644657,51.0,213667,13.933807,43.008953,52.0,213667,22.688967,-0.61690134,-0.90697676,213667,0.822904,-1.3072114,-1.5682735,213667,0.8495246,9.748365,9.442623,213667,2.9416888,-0.61690134,-0.90697676,213667,0.822904,61.835598,70.034,213667,23.709103,0.41820666,0.49001896,213667,0.22731802,2815.6702,1648.9598,213667,3014.235,1.2803779,1.3074028,213667,0.1754806,0.03713906,0.020833334,213667,0.08790345,157.3543,161.51073,213667,16.7538,0.020452142,0.018404908,213667,0.06259267,0.021057578,0.013452915,213667,0.05172601,0.22933035,0.26180258,213667,0.13088906,0.28112903,0.27118644,213667,0.042415496,1.0502366,1.0375,213667,0.13340689,0.4399117,0.49392867,213667,0.1891278,-0.22933035,-0.26180258,213667,0.13088906,5.635704,3.0,213667,12.588944,1.0,1.0,203523,0.0,151.76614,153.72,213667,31.86449,0.8503212,0.872813,213667,0.079273775,0.3549593,0.40983605,213667,0.19624828,1.6747407,1.7099158,213667,0.4236552
2,07_19_2021_HURON_RGB.tif,21192033,80.78946,66.0,213686,42.655262,118.65509,116.0,213686,26.320415,76.32868,68.0,213686,31.546738,0.27160752,0.27297297,213686,0.020170486,0.62071544,0.58878505,213686,0.12924427,94.713646,86.739075,213686,31.767086,13.356597,12.909945,213686,2.3345463,0.007332685,0.0,213686,0.121333584,-12.427133,-17.43955,213686,13.6186905,155.18434,191.21838,213686,86.25661,23.313562,25.008512,213686,5.085913,80.19205,91.0,213686,31.728796,0.34978,0.39506173,213686,0.18142216,85.74189,115.399994,213686,68.104645,-5.5498543,-23.400002,213686,37.393017,0.44992667,0.46502057,213686,0.060474053,1.6808172,1.6984127,213686,0.3519932,1.6902977,1.7714286,213686,0.4756312,0.23635508,0.26966292,213686,0.11723605,42.32641,45.0,213686,10.971054,37.865635,47.0,213686,21.653753,-0.61862487,-1.0,213686,0.9271199,-1.2274227,-1.567514,213686,0.962053,9.041744,8.196721,213686,3.239316,-0.61862487,-1.0,213686,0.9271199,54.586628,61.951,213686,21.288054,0.4213033,0.5166699,213686,0.24500304,2691.9758,1131.874,213686,3413.5974,1.2869579,1.3309503,213686,0.18449254,0.024939321,0.0,213686,0.09127984,157.77283,163.62886,213686,17.951302,0.007441903,0.0,213686,0.0619685,0.012536678,0.0,213686,0.05284182,0.23260017,0.2783505,213686,0.14024454,0.27846575,0.26335877,213686,0.045485772,1.0230818,1.0,213686,0.1298969,0.4345765,0.5034091,213686,0.20122282,-0.23260017,-0.2783505,213686,0.14024454,4.4607744,0.0,213686,13.106547,1.0,1.0,202770,0.0,139.81401,136.87,213686,31.888136,0.851666,0.8822417,213686,0.08523729,0.36305216,0.44210526,213686,0.21330892,1.6775253,1.744339,213686,0.4261547
3,07_19_2021_HURON_RGB.tif,21192034,98.056656,83.0,213650,49.971798,126.66371,124.0,213650,32.709793,87.232315,79.0,213650,38.792107,0.27208418,0.2769231,213650,0.026126321,0.6576399,0.63829786,213650,0.1497417,106.200325,98.21236,213650,38.749992,14.152469,13.832329,213650,2.7705677,0.07907486,0.0952381,213650,0.11386472,-7.109395,-11.014551,213650,14.824071,119.87863,151.34058,213650,94.41801,21.411966,22.583384,213650,5.5176554,68.03846,76.0,213650,34.48854,0.2847795,0.30120483,213650,0.19595754,57.42287,84.399994,213650,74.7707,10.6155815,-6.5999985,213650,41.52764,0.42825982,0.43373495,213650,0.06531918,1.6145785,1.5666667,213650,0.45068863,1.4981389,1.4827586,213650,0.47438732,0.19359602,0.21008404,213650,0.12684654,39.43139,41.0,213650,12.294748,28.607073,35.0,213650,23.208622,-0.21613461,-0.6666667,213650,1.0245702,-0.9871354,-1.5666229,213650,1.1982524,10.227957,9.409836,213650,3.9256558,-0.21613461,-0.6666667,213650,1.0245702,46.038277,50.731995,213650,22.78535,0.31694412,0.3747212,213650,0.25619942,4069.0718,2026.8152,213650,4241.7524,1.2096709,1.2176858,213650,0.18664166,0.073960766,0.06711409,213650,0.0907778,150.12503,152.88889,213650,18.479887,0.04472736,0.05,213650,0.060364574,0.042221364,0.041450776,213650,0.05230773,0.17285185,0.19444445,213650,0.14437412,0.29965597,0.29411766,213650,0.045441125,1.1020103,1.1052631,213650,0.13319537,0.35947484,0.4035966,213650,0.2186113,-0.17285185,-0.19444445,213650,0.14437412,10.824315,7.0,213650,13.789218,1.0,1.0,205572,0.0,148.61192,145.84,213650,40.393135,0.8154614,0.8333333,213650,0.08873897,0.26556754,0.30927834,213650,0.21634479,1.5266877,1.5120407,213650,0.45245904
4,07_19_2021_HURON_RGB.tif,21192035,80.38289,63.0,213654,45.35397,117.22423,113.0,213654,28.728937,75.80483,66.0,213654,33.91999,0.27139184,0.27272728,213654,0.021790871,0.62053365,0.5862069,213654,0.13502094,93.91531,84.496544,213654,34.263416,13.266878,12.727922,213654,2.5029178,0.0029291422,0.0,213654,0.1320018,-11.647685,-16.352549,213654,13.6128845,151.25504,186.64584,213654,87.03989,22.987274,24.516077,213654,5.0589256,78.26074,89.0,213654,31.630491,0.35286772,0.40186915,213654,0.19156456,82.94892,112.399994,213654,68.99506,-4.6881886,-23.400002,213654,38.49371,0.45095587,0.46728972,213654,0.06385485,1.6905156,1.7058823,213654,0.39000428,1.709526,1.7941177,213654,0.5183796,0.23778962,0.27388534,213654,0.12301296,41.419403,43.0,213654,10.974235,36.841343,45.0,213654,21.71235,-0.6180782,-1.0,213654,0.91567916,-1.2337579,-1.5672597,213654,0.95227945,8.964327,7.967213,213654,3.4889326,-0.6180782,-1.0,213654,0.91567916,53.3032,59.933002,213654,21.137678,0.42241073,0.5259381,213654,0.25428215,2769.7615,1044.2015,213654,3640.7532,1.2924602,1.3394468,213654,0.19766822,0.024254087,0.0,213654,0.094557196,158.04488,164.37895,213654,18.839903,0.005843019,0.0,213654,0.06642652,0.011965705,0.0,213654,0.055199523,0.2347255,0.28421053,213654,0.14718674,0.27765223,0.26168224,213654,0.047798958,1.0209155,1.0,213654,0.13755336,0.43545306,0.51057404,213654,0.20925555,-0.2347255,-0.28421053,213654,0.14718674,4.5780606,0.0,213654,13.536322,1.0,1.0,203816,0.0,138.18024,133.31,213654,34.816513,0.852541,0.88555664,213654,0.088878915,0.36546806,0.45,213654,0.22295041,1.6930554,1.7635596,213654,0.46550292
5,07_19_2021_HURON_RGB.tif,21192036,95.68983,76.0,213657,53.615063,127.185715,121.0,213657,35.157726,86.577484,74.0,213657,41.796734,0.27146617,0.27493918,213657,0.02618348,0.64515686,0.6148148,213657,0.15251708,105.59778,93.27557,213657,41.766624,14.057808,13.44123,213657,2.9462016,0.055576336,0.071428575,213657,0.12054981,-8.828611,-13.712545,213657,15.03653,130.18762,167.78053,213657,97.00504,22.07801,23.601583,213657,5.544509,72.1041,83.0,213657,34.831623,0.3092072,0.34,213657,0.2026799,65.32404,96.79999,213657,77.19736,6.78005,-13.200005,213657,43.549427,0.43640238,0.44666666,213657,0.067559965,1.6489338,1.626506,213657,0.45391095,1.572887,1.5853659,213657,0.5074761,0.2091266,0.23502304,213657,0.13069263,40.608223,43.0,213657,12.171884,31.495884,39.0,213657,23.622288,-0.3262901,-0.78723407,213657,1.0136999,-1.0087664,-1.5669686,213657,1.1837089,10.146004,8.885246,213657,4.2328825,-0.3262901,-0.78723407,213657,1.0136999,48.99296,55.102,213657,22.886534,0.35246015,0.4307484,213657,0.26294276,4024.1917,1597.817,213657,4627.9146,1.2385232,1.2591132,213657,0.19734946,0.057396412,0.045454547,213657,0.09046534,152.82947,156.98114,213657,19.19788,0.032445546,0.037037037,213657,0.06255152,0.03218958,0.028846154,213657,0.05249104,0.19398032,0.2264151,213657,0.14998342,0.29213145,0.28323698,213657,0.04727547,1.0757287,1.0769231,213657,0.13482739,0.38513368,0.44643745,213657,0.22392538,-0.19398032,-0.2264151,213657,0.14998342,9.112339,5.0,213657,14.110025,1.0,1.0,204016,0.0,149.60516,143.1,213657,43.42211,0.8280129,0.85229987,213657,0.09151507,0.29807174,0.35714287,213657,0.22485569,1.5881081,1.6008205,213657,0.47630394
6,07_19_2021_HURON_RGB.tif,21192042,75.66655,60.0,213645,42.828014,112.71266,108.0,213645,27.592491,70.118546,60.0,213645,32.70195,0.26390728,0.26455027,213645,0.024483886,0.59388137,0.55813956,213645,0.13920082,89.09138,79.63458,213645,32.656593,12.895171,12.328828,213645,2.4589424,0.032137316,0.030612245,213645,0.11623613,-12.257915,-16.554544,213645,12.7886305,155.54158,187.22346,213645,81.64626,23.204992,24.619097,213645,4.760958,79.64019,89.0,213645,29.733482,0.37744227,0.4226804,213645,0.19289084,86.41965,112.600006,213645,64.65658,-6.7794776,-23.0,213645,35.980118,0.4591474,0.4742268,213645,0.064296946,1.7766517,1.7916666,213645,0.41751146,1.7359011,1.804878,213645,0.49334088,0.25324926,0.28671327,213645,0.12323531,42.594097,45.0,213645,10.456227,37.046097,44.0,213645,20.211977,-0.59785557,-0.9259259,213645,0.83613,-1.2722067,-1.567186,213645,0.90082955,8.475336,7.47541,213645,3.3316243,-0.59785557,-0.9259259,213645,0.83613,53.54725,59.475994,213645,19.759281,0.43920434,0.53025013,213645,0.24550414,2445.8728,927.03864,213645,3276.9558,1.3036897,1.3434575,213645,0.1905129,0.037026785,0.017094018,213645,0.08542175,159.2267,164.73044,213645,18.207386,0.01984874,0.015544041,213645,0.05977293,0.020728296,0.010989011,213645,0.0499378,0.2439586,0.28695652,213645,0.1422452,0.27694535,0.2636816,213645,0.045251302,1.0481955,1.0315789,213645,0.12662095,0.46056518,0.530661,213645,0.20749773,-0.2439586,-0.28695652,213645,0.1422452,5.5480027,2.0,213645,12.313946,1.0,1.0,199092,0.0,131.5845,126.53,213645,33.819336,0.8582478,0.8871057,213645,0.0858449,0.3710518,0.44329897,213645,0.209624,1.73966,1.7997265,213645,0.4580338
7,07_19_2021_HURON_RGB.tif,21192025,81.876175,70.0,213658,41.952045,120.57929,120.0,213658,28.945694,76.90594,71.0,213658,32.68677,0.26843756,0.27158928,213658,0.026259586,0.61317897,0.58928573,213658,0.14076819,96.00135,90.80015,213658,32.532444,13.423382,13.216152,213658,2.4604216,0.024853,0.025316456,213658,0.119781986,-13.2861805,-17.266546,213658,14.236777,159.11523,188.16116,213658,87.391914,23.699316,25.012796,213658,5.446676,82.37648,91.0,213658,33.54201,0.35658702,0.38535032,213658,0.19279645,88.329155,112.399994,213658,68.19967,-5.952662,-21.200005,213658,36.246696,0.4521957,0.46178344,213658,0.06426549,1.7273021,1.6969697,213658,0.47309294,1.695131,1.7254902,213658,0.5097136,0.24013542,0.26361656,213658,0.12257922,43.673363,45.0,213658,12.860527,38.70313,46.0,213658,21.767916,-0.608747,-0.9354839,213658,0.87363,-1.2735399,-1.5675735,213658,0.89658386,9.15939,8.590164,213658,3.3123057,-0.608747,-0.9354839,213658,0.87363,55.87479,61.614994,213658,22.264383,0.420901,0.4971484,213658,0.24119338,2703.4524,1300.5156,213658,3222.753,1.2878542,1.3135792,213658,0.19121273,0.03205429,0.014492754,213658,0.086322755,157.7734,162.07195,213658,17.948956,0.016294673,0.012820513,213658,0.061471432,0.017736139,0.009259259,213658,0.050540153,0.23260476,0.26618704,213658,0.14022622,0.2793667,0.26872247,213658,0.044445895,1.0412749,1.025974,213658,0.13126354,0.43905598,0.49345028,213658,0.20536537,-0.23260476,-0.26618704,213658,0.14022622,4.970233,2.0,213658,12.385645,1.0,1.0,201629,0.0,141.71269,141.88,213658,35.598286,0.8517346,0.87532115,213658,0.08457586,0.35836446,0.41984734,213658,0.20700863,1.6958001,1.7147242,213658,0.48132613
8,07_19_2021_HURON_RGB.tif,21192026,78.258255,67.0,213651,40.918633,114.251335,112.0,213651,30.550253,71.70352,66.0,213651,32.960552,0.26247838,0.2680851,213651,0.03125418,0.5989382,0.5833333,213651,0.14801002,90.873474,84.93919,213651,32.85931,13.026162,12.780192,213651,2.5418842,0.05940761,0.06557377,213651,0.13121562,-11.75263,-15.740541,213651,13.582601,151.72913,179.62456,213651,83.002975,23.041716,24.399788,213651,5.220952,78.54088,87.0,213651,32.060917,0.3633526,0.3809524,213651,0.20283923,83.23065,105.79999,213651,64.677,-4.6897717,-18.0,213651,34.36804,0.45445088,0.46031746,213651,0.06761307,1.7974751,1.7142857,213651,0.6131307,1.6849756,1.6833333,213651,0.54239833,0.24391295,0.26086956,213651,0.12739046,42.54781,45.0,213651,12.093816,35.993073,43.0,213651,20.990849,-0.5194674,-0.8333333,213651,0.90411305,-1.2411733,-1.567208,213651,0.9423159,8.662725,8.032787,213651,3.3354797,-0.5194674,-0.8333333,213651,0.90411305,52.70508,58.414997,213651,21.586395,0.4130512,0.47829866,213651,0.24241926,2505.9355,1213.0632,213651,3030.6812,1.2829338,1.2974334,213651,0.19762631,0.052584056,0.03809524,213651,0.09237115,157.21713,160.59627,213651,18.164806,0.035321746,0.033898305,213651,0.07016791,0.03136165,0.024793388,213651,0.055433054,0.22825876,0.25465837,213651,0.14191253,0.28307077,0.275,213651,0.04502147,1.0849128,1.0701754,213651,0.16392787,0.44435588,0.4897274,213651,0.2092384,-0.22825876,-0.25465837,213651,0.14191253,6.5547366,4.0,213651,12.076827,1.0,1.0,203569,0.0,133.20604,131.08,213651,38.066963,0.84908974,0.86871076,213651,0.08547152,0.34541842,0.39534885,213651,0.20498872,1.7101952,1.6956744,213651,0.53521645
9,07_19_2021_HURON_RGB.tif,21192027,82.92683,68.0,213646,45.7149,119.33578,117.0,213646,30.734524,73.22565,64.0,213645,35.65842,0.2561619,0.25925925,213645,0.03178958,0.58274704,0.5546219,213645,0.15615617,94.959045,87.11295,213645,35.28133,13.290846,12.909945,213645,2.6481616,0.09126501,0.1,213645,0.11834832,-13.231478,-17.518549,213645,15.254295,156.78065,188.57886,213645,94.229294,23.783175,25.16979,213645,5.8102894,82.51965,92.0,213645,35.861664,0.37461156,0.4032258,213645,0.21452254,85.75781,112.2,213645,73.687096,-3.2382145,-19.600002,213646,39.376114,0.45820385,0.46774194,213645,0.07150752,1.8621906,1.8030303,213645,0.6678296,1.6901779,1.7045455,213646,0.5749105,0.2503031,0.2747253,213645,0.13482769,46.110607,48.0,213645,13.69431,36.408943,44.0,213646,23.26871,-0.38870355,-0.7647059,213645,0.9351596,-1.1513827,-1.5674498,213645,1.0512904,9.03243,8.196721,213645,3.5941534,-0.38870355,-0.7647059,213645,0.9351596,54.521523,60.599995,213645,23.663761,0.40950197,0.48789844,213646,0.2551335,2950.1584,1273.7046,213645,3704.7388,1.283519,1.3055824,213646,0.20677662,0.072637185,0.05785124,213645,0.089178324,157.08601,161.34454,213646,19.04129,0.051822063,0.05263158,213645,0.065018445,0.043926105,0.03821656,213645,0.053009577,0.2272347,0.26050422,213646,0.1487601,0.28563422,0.27555555,213645,0.046715718,1.119705,1.1111112,213645,0.1546692,0.45313096,0.5123192,213645,0.22135846,-0.2272347,-0.26050422,213646,0.1487601,9.701561,6.0,213645,13.110137,1.0,1.0,204312,0.0,137.52034,135.01001,213645,37.907223,0.8480324,0.87206894,213646,0.0898665,0.3356568,0.3962264,213645,0.21166688,1.7346704,1.7366531,213645,0.57762784
