Name,Northing,Easting,Elevation
SVREC_1,691733.46945,13301050.29678,641.42553
SVREC_2,691736.27675,13301328.97737,641.81942
SVREC_3,691518.54081,13301338.49726,642.75907
SVREC_4,691213.71024,13301339.89488,643.48200
SVREC_5,690863.30265,13301337.93696,643.73416
SVREC_6,690860.16576,13301060.57981,644.56225
SVREC_7,691175.50511,13301052.86542,643.36761
SVREC_8,691074.08679,13301193.00296,643.89530
SVREC_9,691420.99095,13301054.97757,643.46554
SVREC_10,691416.95983,13301189.76522,642.82805
SVREC_11,691286.02667,13301393.56496,643.48414
SVREC_12,691290.30685,13301670.38155,643.55462
SVREC_13,691300.18941,13301735.86808,643.50495
SVREC_14,691545.64998,13301727.26199,642.42222
SVREC_15,691739.58848,13301725.89457,641.55547
SVREC_16,691741.96683,13302001.03169,641.73471
SVREC_17,691205.33461,13302007.90473,643.55674
SVREC_18,690958.91913,13302011.24590,644.65379
SVREC_19,690829.49588,13302009.48510,644.40818
SVREC_20,690826.35014,13301733.53461,643.93486
SVREC_21,691048.02941,13301734.79879,643.86260
SVREC_22,690877.21416,13301671.99910,644.16319
SVREC_23,690871.12014,13301397.72130,644.08531
