Global_ID,MTR_ADJ,mtr,GDD,Global_ID2,entry,horizontal,ibloc,rep,pas,rng,plot,name,identity1,pedigree1,source,selection,v_desc,location,year,expt,harvester,f_pedigree,m_pedigree,fname,mname,pass,planter,loccode
21051001,25,84,21.23253012,2105_1001,31,0,1,1,58,1,1001,N21531,NA,B15430/N14229,18B224-01-05,20T2305,18A0224-18L221-18-19T548-19T1246-20T2305,SVREC,2021,2105,696,Zenith/B12721,N11275/N11256,B15430,N14229,1,58,SVR
21051002,25,84,21.23253012,2105_1002,7,0,1,1,59,1,1002,N21507,NA,N14229/B14302,18N109-02-03,20T2046,18A0109-18L108-18-19T41-19T1020-20T2046,SVREC,2021,2105,697,N11275/N11256,B09197/B11334,N14229,B14302,1,59,SVR
21051003,25,84,21.23253012,2105_1003,13,0,1,1,60,1,1003,N21513,NA,N15306/N16405,18N120-03-01,20T2096,18A0120-18L118-18-19T90-19T1044-20T2096,SVREC,2021,2105,720,N11230/N11298,N12466/N11264,N15306,N16405,1,60,SVR
21051004,30,89,21.62613636,2105_1004,9,0,1,1,61,1,1004,N21509,NA,N14229/B16504,18N110-08-05,20T2067,18A0110-18L109-18-19T55-19T1027-20T2067,SVREC,2021,2105,721,N11275/N11256,Zenith//Alpena*/B09197,N14229,B16504,1,61,SVR
21051005,24,83,21.17073171,2105_1005,24,0,1,1,62,1,1005,N21524,NA,N17504/B17106,18N153-04-04,20T2196,18A0153-18L150-18-19T248-19T1116-20T2196,SVREC,2021,2105,744,N14206/N14229,B14302/B13218,N17504,B17106,1,62,SVR
21051006,25,84,21.23253012,2105_1006,35,0,2,1,58,2,1006,N21535,NA,G16339/N17506,18G442-04-04,20T2670,18A0442-18L436-18-19T1204-19T1539-20T2670,SVREC,2021,2105,695,G12508/G13478,N14230/N12447,G16339,N17506,2,313,SVR
21051007,28,87,21.45,2105_1007,19,0,2,1,59,2,1007,N21519,NA,N17504/N14229,18N147-03-01,20T2158,18A0147-18L144-18-19T199-19T1090-20T2158,SVREC,2021,2105,698,N14206/N14229,N11275/N11256,N17504,N14229,2,312,SVR
21051008,30,89,21.62613636,2105_1008,32,0,2,1,60,2,1008,N21532,NA,B16504/B11519,18B232-03-05,20T2352,18A0232-18L229-18-19T606-19T1278-20T2352,SVREC,2021,2105,719,Zenith//Alpena*/B09197,I82054/B07554,B16504,B11519,2,311,SVR
21051009,31,90,21.62696629,2105_1009,38,0,2,1,61,2,1009,I20815,VALIANT,VALIANT,"Provita, 08077",NA,navy,SVREC,2021,2105,722,NA,NA,NA,NA,2,310,SVR
21051010,24,83,21.17073171,2105_1010,20,0,2,1,62,2,1010,N21520,NA,N17504/N14229,18N147-03-02,20T2159,18A0147-18L144-18-19T199-19T1090-20T2159,SVREC,2021,2105,743,N14206/N14229,N11275/N11256,N17504,N14229,2,309,SVR
21051011,25,84,21.23253012,2105_1011,26,0,3,1,58,3,1011,N21526,NA,N17506/N14229,18N155-07-02,20T2219,18A0155-18L152-18-19T269-19T1127-20T2219,SVREC,2021,2105,694,N14230/N12447,N11275/N11256,N17506,N14229,3,428,SVR
21051012,30,89,21.62613636,2105_1012,40,0,3,1,59,3,1012,I21920,HMS BOUNTY,HMS BOUNTY,"Provita, 12047",NA,navy,SVREC,2021,2105,699,NA,NA,NA,NA,3,429,SVR
21051013,25,84,21.23253012,2105_1013,4,0,3,1,60,3,1013,N21504,NA,N14218/N17504,18N102-06-01,20T2019,18A0102-18L102-18-19T14-19T1007-20T2019,SVREC,2021,2105,718,N11256/N11298,N14206/N14229,N14218,N17504,3,430,SVR
21051014,27,86,21.40588235,2105_1014,33,0,3,1,61,3,1014,N21533,NA,G16339/N17506,18G442-03-02,20T2662,18A0442-18L436-18-19T1203-19T1538-20T2662,SVREC,2021,2105,723,G12508/G13478,N14230/N12447,G16339,N17506,3,431,SVR
21051015,27,86,21.40588235,2105_1015,1,0,3,1,62,3,1015,N21501,NA,N14218/N15306,18N101-02-02,20T2005,18A0101-18L101-18-19T4-19T1002-20T2005,SVREC,2021,2105,742,N11256/N11298,N11230/N11298,N14218,N15306,3,432,SVR
21051016,25,84,21.23253012,2105_1016,5,0,4,1,58,4,1016,N21505,NA,N14229/N17504,18N107-02-04,20T2038,18A0107-18L107-18-19T35-19T1017-20T2038,SVREC,2021,2105,693,N11275/N11256,N14206/N14229,N14229,N17504,4,683,SVR
21051017,25,84,21.23253012,2105_1017,8,0,4,1,59,4,1017,N21508,NA,N14229/B14302,18N109-04-02,20T2051,18A0109-18L108-18-19T43-19T1021-20T2051,SVREC,2021,2105,700,N11275/N11256,B09197/B11334,N14229,B14302,4,682,SVR
21051018,26,85,21.31666667,2105_1018,18,0,4,1,60,4,1018,N21518,NA,N16405/G17923,18N145-03-03,20T2155,18A0145-18L142-18-19T192-19T1087-20T2155,SVREC,2021,2105,717,N12466/N11264,G14505/G12901,N16405,G17923,4,681,SVR
21051019,25,84,21.23253012,2105_1019,28,0,4,1,61,4,1019,N21528,NA,N17506/B15430,18N158-01-02,20T2225,18A0158-18L155-18-19T283-19T1132-20T2225,SVREC,2021,2105,724,N14230/N12447,Zenith/B12721,N17506,B15430,4,680,SVR
21051020,24,83,21.17073171,2105_1020,21,0,4,1,62,4,1020,N21521,NA,N17504/N14229,18N147-04-01,20T2162,18A0147-18L144-18-19T200-19T1091-20T2162,SVREC,2021,2105,741,N14206/N14229,N11275/N11256,N17504,N14229,4,679,SVR
21051021,25,84,21.23253012,2105_1021,25,0,5,1,58,5,1021,N21525,NA,N17506/N14229,18N155-06-02,20T2214,18A0155-18L152-18-19T268-19T1126-20T2214,SVREC,2021,2105,692,N14230/N12447,N11275/N11256,N17506,N14229,5,798,SVR
21051022,25,84,21.23253012,2105_1022,30,0,5,1,59,5,1022,N21530,NA,N14229/N17506,18N108-02-09,20T2243,18A0108-18L163-18-19T299-19T1138-20T2243,SVREC,2021,2105,701,N11275/N11256,N14230/N12447,N14229,N17506,5,799,SVR
21051023,25,84,21.23253012,2105_1023,11,0,5,1,60,5,1023,N21511,NA,N15306/N15337,18N119-06-02,20T2083,18A0119-18L117-18-19T87-19T1042-20T2083,SVREC,2021,2105,716,N11230/N11298,N12466/N11258,N15306,N15337,5,800,SVR
21051024,25,84,21.23253012,2105_1024,3,0,5,1,61,5,1024,N21503,NA,N14218/N17504,18N102-01-01,20T2015,18A0102-18L102-18-19T9-19T1005-20T2015,SVREC,2021,2105,725,N11256/N11298,N14206/N14229,N14218,N17504,5,801,SVR
21051025,25,84,21.23253012,2105_1025,6,0,5,1,62,5,1025,N21506,NA,N14229/N17504,18N107-05-02,20T2042,18A0107-18L107-18-19T38-19T1019-20T2042,SVREC,2021,2105,740,N11275/N11256,N14206/N14229,N14229,N17504,5,802,SVR
21051026,25,84,21.23253012,2105_1026,34,0,6,1,58,6,1026,N21534,NA,G16339/N17506,18G442-03-06,20T2666,18A0442-18L436-18-19T1203-19T1538-20T2666,SVREC,2021,2105,691,G12508/G13478,N14230/N12447,G16339,N17506,6,1053,SVR
21051027,27,86,21.40588235,2105_1027,16,0,6,1,59,6,1027,N21516,NA,N16405/N15337,18N136-02-03,20T2122,18A0136-18L134-18-19T156-19T1069-20T2122,SVREC,2021,2105,702,N12466/N11264,N12466/N11258,N16405,N15337,6,1052,SVR
