Plots_ID,Mat_LOESS_GLI_mean_0.06
22232031,33
22232032,35
22232033,35
22232034,33
22232035,33
22232036,33
22242026,33
22242027,33
22242028,33
22242029,33
22242030,33
22232025,33
22232026,30
22232027,29
22232028,30
22232029,31
22232030,29
22242021,34
22242022,34
22242023,31
22242024,32
22242025,33
22232019,32
22232020,29
22232021,32
22232022,32
22232023,30
22232024,30
22242016,34
22242017,26
22242018,34
22242019,32
22242020,32
22232013,33
22232014,34
22232015,33
22232016,32
22232017,31
22232018,32
22242011,33
22242012,32
22242013,33
22242014,32
22242015,33
22232007,30
22232008,32
22232009,34
22232010,32
22232011,31
22232012,32
22242006,33
22242007,32
22242008,34
22242009,33
22242010,33
22232001,36
22232002,34
22232003,34
22232004,33
22232005,34
22232006,37
22242001,36
22242002,33
22242003,36
22242004,33
22242005,35
22231031,33
22231032,34
22231033,35
22231034,33
22231035,36
22231036,34
22241026,34
22241027,34
22241028,35
22241029,35
22241030,34
22231025,32
22231026,32
22231027,29
22231028,32
22231029,32
22231030,31
22241021,33
22241022,34
22241023,33
22241024,35
22241025,36
22231019,33
22231020,33
22231021,29
22231022,30
22231023,32
22231024,31
22241016,33
22241017,32
22241018,32
22241019,33
22241020,35
22231013,33
22231014,25
22231015,30
22231016,32
22231017,30
22231018,31
22241011,32
22241012,30
22241013,33
22241014,33
22241015,33
22231007,30
22231008,32
22231009,32
22231010,32
22231011,32
22231012,34
22241006,33
22241007,33
22241008,33
22241009,33
22241010,32
22231001,33
22231002,32
22231003,33
22231004,32
22231005,32
22231006,33
22241001,32
22241002,33
22241003,34
22241004,33
22241005,33
