Plots_ID,Mat_SEG_GLI_mean_0.06
22232031,36
22232032,35
22232033,40
22232034,35
22232035,35
22232036,35
22242026,34
22242027,35
22242028,39
22242029,35
22242030,35
22232025,38
22232026,30
22232027,29
22232028,30
22232029,32
22232030,29
22242021,39
22242022,36
22242023,32
22242024,33
22242025,35
22232019,33
22232020,29
22232021,33
22232022,33
22232023,30
22232024,29
22242016,39
22242017,27
22242018,39
22242019,35
22242020,33
22232013,35
22232014,36
22232015,36
22232016,33
22232017,31
22232018,33
22242011,34
22242012,33
22242013,38
22242014,34
22242015,34
22232007,30
22232008,33
22232009,39
22232010,34
22232011,33
22232012,34
22242006,34
22242007,33
22242008,39
22242009,35
22242010,34
22232001,40
22232002,36
22232003,36
22232004,36
22232005,39
22232006,40
22242001,40
22242002,36
22242003,40
22242004,35
22242005,37
22231031,35
22231032,36
22231033,40
22231034,35
22231035,40
22231036,36
22241026,36
22241027,36
22241028,39
22241029,39
22241030,36
22231025,34
22231026,32
22231027,29
22231028,33
22231029,34
22231030,33
22241021,35
22241022,39
22241023,36
22241024,40
22241025,41
22231019,37
22231020,34
22231021,29
22231022,30
22231023,34
22231024,31
22241016,38
22241017,34
22241018,35
22241019,34
22241020,39
22231013,35
22231014,27
22231015,31
22231016,33
22231017,31
22231018,32
22241011,34
22241012,30
22241013,35
22241014,34
22241015,34
22231007,30
22231008,33
22231009,33
22231010,32
22231011,33
22231012,39
22241006,38
22241007,35
22241008,35
22241009,34
22241010,32
22231001,35
22231002,33
22231003,35
22231004,34
22231005,34
22231006,34
22241001,34
22241002,35
22241003,39
22241004,34
22241005,34
