Global_ID,MTR_ADJ,MTR_Days,GDD,Global_ID2,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Experiment Name,Origin,Selection,Description1,Year,Location,Planter,Harvester
22011001,41,101,19.662,2201_1001,1001,31,1,1,1,3,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,27,3
22011002,41,101,19.662,2201_1002,1002,30,1,1,1,4,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,52,4
22011003,39,99,19.70204082,2201_1003,1003,8,1,1,1,5,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,53,5
22011004,42,102,19.7039604,2201_1004,1004,1,1,1,1,6,B20536,NA,B15430/B16504,2201,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,SVREC,78,6
22011005,41,101,19.662,2201_1005,1005,24,1,1,1,7,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,79,7
22011006,41,101,19.662,2201_1006,1006,23,1,1,1,8,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,104,8
22011007,38,98,19.77731959,2201_1007,1007,15,1,2,2,3,B19332,NA,B16501/B15464,2201,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,SVREC,28,330
22011008,41,101,19.662,2201_1008,1008,7,1,2,2,4,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,51,329
22011009,40,100,19.66161616,2201_1009,1009,26,1,2,2,5,B21714,NA,B16501/B16504,2201,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,SVREC,54,328
22011010,42,102,19.7039604,2201_1010,1010,28,1,2,2,6,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,77,327
22011011,41,101,19.662,2201_1011,1011,29,1,2,2,7,B21713,NA,B16501/B16504,2201,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,SVREC,80,326
22011012,38,98,19.77731959,2201_1012,1012,2,1,2,2,8,B20599,NA,B16506/B15430,2201,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,SVREC,103,325
22011013,36,96,19.86210526,2201_1013,1013,5,1,3,3,3,B20590,NA,B16505/B16504,2201,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,SVREC,29,335
22011014,35,95,19.9212766,2201_1014,1014,12,1,3,3,4,B20602,NA,B16506/B16504,2201,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,SVREC,50,336
22011015,37,97,19.81145833,2201_1015,1015,3,1,3,3,5,B20591,NA,B16505/B16504,2201,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,SVREC,55,337
22011016,41,101,19.662,2201_1016,1016,32,1,3,3,6,B21706,NA,B15430/B16504,2201,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,SVREC,76,338
22011017,41,101,19.662,2201_1017,1017,6,1,3,3,7,B19309,NA,B15414/B16504,2201,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,SVREC,81,339
22011018,35,95,19.9212766,2201_1018,1018,10,1,3,3,8,B20549,NA,B16501/B16504,2201,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,SVREC,102,340
22011019,36,96,19.86210526,2201_1019,1019,35,1,4,4,3,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,30,662
22011020,38,98,19.77731959,2201_1020,1020,4,1,4,4,4,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2201,14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,SVREC,49,661
22011021,38,98,19.77731959,2201_1021,1021,17,1,4,4,5,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,56,660
22011022,38,98,19.77731959,2201_1022,1022,33,1,4,4,6,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,75,659
22011023,37,97,19.81145833,2201_1023,1023,18,1,4,4,7,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,82,658
22011024,41,101,19.662,2201_1024,1024,19,1,4,4,8,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,101,657
22011025,42,102,19.7039604,2201_1025,1025,36,1,5,5,3,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,31,667
22011026,41,101,19.662,2201_1026,1026,9,1,5,5,4,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,48,668
22011027,42,102,19.7039604,2201_1027,1027,22,1,5,5,5,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,57,669
22011028,42,102,19.7039604,2201_1028,1028,13,1,5,5,6,B20532,NA,B15430/B16504,2201,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,SVREC,74,670
22011029,38,98,19.77731959,2201_1029,1029,27,1,5,5,7,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,83,671
22011030,38,98,19.77731959,2201_1030,1030,34,1,5,5,8,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,100,672
22011031,41,101,19.662,2201_1031,1031,16,1,6,6,3,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,32,994
22011032,42,102,19.7039604,2201_1032,1032,11,1,6,6,4,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,47,993
22011033,41,101,19.662,2201_1033,1033,25,1,6,6,5,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,58,992
22011034,38,98,19.77731959,2201_1034,1034,14,1,6,6,6,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,73,991
22011035,41,101,19.662,2201_1035,1035,20,1,6,6,7,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,84,990
22011036,43,103,19.69019608,2201_1036,1036,21,1,6,6,8,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,99,989
22012001,41,101,19.662,2201_2001,2001,9,2,1,1,9,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,105,9
22012002,41,101,19.662,2201_2002,2002,23,2,1,1,10,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,130,10
22012003,40,100,19.66161616,2201_2003,2003,3,2,1,1,11,B20591,NA,B16505/B16504,2201,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,SVREC,131,11
22012004,41,101,19.662,2201_2004,2004,20,2,1,1,12,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,156,12
22012005,42,102,19.7039604,2201_2005,2005,29,2,1,1,13,B21713,NA,B16501/B16504,2201,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,SVREC,157,13
22012006,41,101,19.662,2201_2006,2006,33,2,1,1,14,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,182,14
22012007,41,101,19.662,2201_2007,2007,6,2,2,2,9,B19309,NA,B15414/B16504,2201,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,SVREC,106,324
22012008,38,98,19.77731959,2201_2008,2008,34,2,2,2,10,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,129,323
22012009,40,100,19.66161616,2201_2009,2009,18,2,2,2,11,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,132,322
22012010,42,102,19.7039604,2201_2010,2010,28,2,2,2,12,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,155,321
22012011,41,101,19.662,2201_2011,2011,31,2,2,2,13,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,158,320
22012012,37,97,19.81145833,2201_2012,2012,14,2,2,2,14,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,181,319
22012013,41,101,19.662,2201_2013,2013,17,2,3,3,9,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,107,341
22012014,42,102,19.7039604,2201_2014,2014,36,2,3,3,10,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,128,342
22012015,40,100,19.66161616,2201_2015,2015,5,2,3,3,11,B20590,NA,B16505/B16504,2201,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,SVREC,133,343
22012016,37,97,19.81145833,2201_2016,2016,8,2,3,3,12,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,154,344
22012017,41,101,19.662,2201_2017,2017,2,2,3,3,13,B20599,NA,B16506/B15430,2201,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,SVREC,159,345
22012018,43,103,19.69019608,2201_2018,2018,11,2,3,3,14,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,180,346
22012019,41,101,19.662,2201_2019,2019,16,2,4,4,9,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,108,656
22012020,38,98,19.77731959,2201_2020,2020,26,2,4,4,10,B21714,NA,B16501/B16504,2201,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,SVREC,127,655
22012021,41,101,19.662,2201_2021,2021,24,2,4,4,11,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,134,654
22012022,37,97,19.81145833,2201_2022,2022,10,2,4,4,12,B20549,NA,B16501/B16504,2201,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,SVREC,153,653
22012023,43,103,19.69019608,2201_2023,2023,22,2,4,4,13,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,160,652
22012024,41,101,19.662,2201_2024,2024,35,2,4,4,14,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,179,651
22012025,40,100,19.66161616,2201_2025,2025,30,2,5,5,9,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,109,673
22012026,38,98,19.77731959,2201_2026,2026,19,2,5,5,10,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,126,674
22012027,41,101,19.662,2201_2027,2027,7,2,5,5,11,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,135,675
22012028,38,98,19.77731959,2201_2028,2028,27,2,5,5,12,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,152,676
22012029,41,101,19.662,2201_2029,2029,25,2,5,5,13,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,161,677
22012030,42,102,19.7039604,2201_2030,2030,32,2,5,5,14,B21706,NA,B15430/B16504,2201,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,SVREC,178,678
22012031,41,101,19.662,2201_2031,2031,1,2,6,6,9,B20536,NA,B15430/B16504,2201,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,SVREC,110,988
22012032,36,96,19.86210526,2201_2032,2032,12,2,6,6,10,B20602,NA,B16506/B16504,2201,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,SVREC,125,987
22012033,41,101,19.662,2201_2033,2033,15,2,6,6,11,B19332,NA,B16501/B15464,2201,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,SVREC,136,986
22012034,41,101,19.662,2201_2034,2034,4,2,6,6,12,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2201,14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,SVREC,151,985
22012035,41,101,19.662,2201_2035,2035,13,2,6,6,13,B20532,NA,B15430/B16504,2201,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,SVREC,162,984
22012036,42,102,19.7039604,2201_2036,2036,21,2,6,6,14,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,177,983
22013001,37,97,19.81145833,2201_3001,3001,35,3,1,7,3,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,33,999
22013002,40,100,19.66161616,2201_3002,3002,33,3,1,7,4,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,46,1000
22013003,38,98,19.77731959,2201_3003,3003,19,3,1,7,5,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,59,1001
22013004,38,98,19.77731959,2201_3004,3004,18,3,1,7,6,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,72,1002
22013005,41,101,19.662,2201_3005,3005,17,3,1,7,7,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,85,1003
22013006,40,100,19.66161616,2201_3006,3006,4,3,1,7,8,B18504,ADAMS,"Zenith//Alpena*/B09197, ADAMS",2201,14B217-02-01-R,NA,14A0217-14L217-14-15T938-15T1117-15-16T41-R109,2022,SVREC,98,1004
22013007,42,102,19.7039604,2201_3007,3007,21,3,2,8,3,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,34,1326
22013008,38,98,19.77731959,2201_3008,3008,25,3,2,8,4,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,45,1325
22013009,41,101,19.662,2201_3009,3009,11,3,2,8,5,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,60,1324
22013010,37,97,19.81145833,2201_3010,3010,14,3,2,8,6,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,71,1323
22013011,37,97,19.81145833,2201_3011,3011,16,3,2,8,7,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,86,1322
22013012,38,98,19.77731959,2201_3012,3012,20,3,2,8,8,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,97,1321
22013013,42,102,19.7039604,2201_3013,3013,22,3,3,9,3,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,35,1331
22013014,38,98,19.77731959,2201_3014,3014,34,3,3,9,4,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,44,1332
22013015,38,98,19.77731959,2201_3015,3015,9,3,3,9,5,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,61,1333
22013016,38,98,19.77731959,2201_3016,3016,13,3,3,9,6,B20532,NA,B15430/B16504,2201,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,SVREC,70,1334
22013017,41,101,19.662,2201_3017,3017,36,3,3,9,7,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,87,1335
22013018,37,97,19.81145833,2201_3018,3018,27,3,3,9,8,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,96,1336
22013019,36,96,19.86210526,2201_3019,3019,8,3,4,10,3,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,36,1658
22013020,41,101,19.662,2201_3020,3020,23,3,4,10,4,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,43,1657
22013021,38,98,19.77731959,2201_3021,3021,24,3,4,10,5,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,62,1656
22013022,38,98,19.77731959,2201_3022,3022,1,3,4,10,6,B20536,NA,B15430/B16504,2201,18B217-10-02,19-20T626,18A0217-18L216-18-19T508-19T1228-19-20T626,2022,SVREC,69,1655
22013023,38,98,19.77731959,2201_3023,3023,31,3,4,10,7,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,88,1654
22013024,40,100,19.66161616,2201_3024,3024,30,3,4,10,8,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,95,1653
